Gleb
Larochkin
76c45d2131e35b4cae32449b94d8a10d
[20.9.2020 | 22:11:14] {"type":"cmd","data":"run"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:17] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":1280,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:18] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":112,"gpioe":5376,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:19] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":104,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":104,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":104,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:20] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":104,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":104,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":72,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":72,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":72,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":72,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":72,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:21] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:22] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:23] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:23] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":16,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:23] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":120,"gpioe":272,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:23] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":272,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:23] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":272,"modeltime":0,"type":"gpio"}
